n_nodes,n_edges,custom_time_sec,networkx_time_sec,custom_iterations,l1_distance_vs_networkx,max_abs_difference_vs_networkx,spearman_rank_corr
20,83.66666666666667,0.0009204000040578345,0.003149466657002146,27.333333333333332,3.856616316808929e-10,5.910653448163809e-11,1.0
50,283.6666666666667,0.0005481666691290835,0.0021746666655720523,25.0,1.3372328562753315e-09,9.092286645806524e-11,0.9999999999999999
100,587.0,0.0010560333321336657,0.004784066666616127,24.0,2.2888388750858892e-09,9.585611529065267e-11,0.9999999999999999
200,1182.0,0.0016054333245847374,0.003920266666682437,23.666666666666668,7.246744525095904e-09,2.2932259621336973e-10,1.0
400,2353.0,0.004651299997931346,0.0069226666625278694,25.0,1.1776991951095717e-08,4.258155237556645e-10,1.0
