damping,iterations,converged,top_node_custom,top_score_custom,l1_distance_vs_networkx,max_abs_difference_vs_networkx,spearman_rank_corr,same_ranking_order
0.7,32,True,C,0.3575601776037769,1.3333628645639806e-10,6.666822649492588e-11,1.0,True
0.75,36,True,C,0.36449704142592954,1.1191887694383951e-10,5.5959514799752696e-11,1.0,True
0.8,40,True,C,0.3714622641446879,9.994943761526542e-11,4.997480207435956e-11,1.0,True
0.85,44,True,C,0.3784758674621581,1.2720158260037806e-10,6.360068027788657e-11,1.0,True
0.9,49,True,C,0.3855573438025347,1.4294630062972047e-10,7.147304970089863e-11,1.0,True
0.95,56,True,C,0.39272578317896595,1.6582887840677074e-10,8.29144808367488e-11,1.0,True
